餐厅名,种类,地址,评分,人均,链接
湾区九号潮汕牛肉火锅,火锅,香洲区情侣南路287号,5,44,https://www.meituan.com/meishi/1742127993/
蒙肥羊自助餐厅（香洲店）,火锅,香洲区凤凰南路1130号马可波罗大厦2楼（吉之岛旁，肯德基楼上）,5,54,https://www.meituan.com/meishi/1238743/
金记猪肚鸡复合型餐厅,火锅,香洲区香洲区侨光路5号华策大厦2楼,5,75,https://www.meituan.com/meishi/1238657/
哈儿土火锅（拱北旗舰店）,火锅,香洲区水湾路情侣南路288号,4.4,56,https://www.meituan.com/meishi/191158837/
海鸿鲜蒸煮题餐厅（夏湾店）,火锅,香洲区昌平路春泽名园288、290、292号铺（老川坊对面）,5,15,https://www.meituan.com/meishi/50659794/
菌味香云南野生菌主题餐厅,火锅,香洲区香洲银桦路652号（新加坡花园1期门口）,5,88,https://www.meituan.com/meishi/5896736/
永兴生蚝火锅店（拱北店）,火锅,香洲区水湾路87、89、91号,5,16,https://www.meituan.com/meishi/195600359/
水禾轩·蒸汽主题餐厅（新香洲店）,火锅,香洲区红山路163号体育中心南门A区三号,5,95,https://www.meituan.com/meishi/40786293/
金众记猪肚鸡（景山路店）,火锅,香洲区吉大景山路94号（凌波酒店对面）,4.7,56,https://www.meituan.com/meishi/1238453/
锦州烧烤·灌县老妈砂锅串串,火锅,香洲区心华路152号-1（广富市场对面）,4.7,61,https://www.meituan.com/meishi/166615908/
金众记猪肚鸡（南屏店）,火锅,香洲区环屏路8号楼5号铺,4.5,31,https://www.meituan.com/meishi/42653359/
同仁四季音乐主题餐厅（珠海拱北店）,火锅,香洲区桂花南路122号城市客栈酒店一楼,4.4,59,https://www.meituan.com/meishi/160118514/
豆捞坊,火锅,香洲区前山所前山旅游路168号梅溪商业广场奥园广场二期第L3层L3-07号商铺,5,72,https://www.meituan.com/meishi/193140228/
魅力牛香·牛杂火锅（南屏旗舰店）,火锅,香洲区南湾北路45号南屏商业中心1F001、1F032号铺（弘桥商城侧）（南屏大桥巴士站右侧）,4.7,61,https://www.meituan.com/meishi/40097464/
润鼎四季（吉大店）,火锅,香洲区吉大景山路96号(近吉大市场),4.5,58,https://www.meituan.com/meishi/42374645/
三头牛·鲜牛肉火锅（夏湾店）,火锅,香洲区粤华路327号（中国农业银行对面）,4.7,44,https://www.meituan.com/meishi/160415013/
味缘·磨磨香（富华里店）,火锅,香洲区九洲大道西2033号中海富华里2栋2-02,4.4,75,https://www.meituan.com/meishi/64843470/
三宝,火锅,香洲区银桦路727号（体育中心东门对面）,4.9,54,https://www.meituan.com/meishi/6054931/
濠轩阁特色生蚝火锅（新市花园总店）,火锅,香洲区粤华路152号新市花园（泰锋电器与初心烧鹅中间巷子）,4.7,56,https://www.meituan.com/meishi/112309232/
菌香园（吉大旗舰店）,火锅,香洲区九洲大道东1197号凯迪克酒店2楼中餐厅,4.5,15,https://www.meituan.com/meishi/1238867/
汕头八合里海记牛肉火锅店（扬名分店）,火锅,香洲区凤凰南路1060号1楼（扬名广场二期锦江之星酒店1楼）,4.4,88,https://www.meituan.com/meishi/50967275/
渝城四季老火锅,火锅,香洲区围基路24号二、三楼,3.8,95,https://www.meituan.com/meishi/193888934/
共乐驿站·乡村stlye蒸汽主题餐厅,火锅,香洲区山房路94号（玲珑咖啡后面）,5,16,https://www.meituan.com/meishi/42133280/
尚品轩,火锅,香洲区夏湾路171-175号（近港昌路）,4.5,56,https://www.meituan.com/meishi/2755972/
港式1号打边炉,火锅,香洲区桂花南路北桂花南路88号,4.4,61,https://www.meituan.com/meishi/195149897/
五饼二鱼·原味蒸汽火锅（香洲店）,火锅,香洲区洲山路23号综合楼（锦江之星）,4.5,31,https://www.meituan.com/meishi/40352298/
湘乡小厨（富华里店）,火锅,香洲区九洲大道西2033号中海富华里11栋2-03,4.6,59,https://www.meituan.com/meishi/42420885/
蓝波斯菊鲜汤火锅（日月贝店）,火锅,香洲区渔湾路29号城建海韵城A区二层L2-8号（近日月贝）,4.2,72,https://www.meituan.com/meishi/150344350/
小镇牛杂,火锅,香洲区南屏镇环屏路24号C栋一层A8、A9号商铺,5,58,https://www.meituan.com/meishi/41993295/
渝都川菜火锅（夏湾店）,火锅,香洲区夏湾侨光西路310号（华骏大酒店对面）,4.3,61,https://www.meituan.com/meishi/1235847/
小锅盖粥城,火锅,香洲区明珠南路1137号,5,44,https://www.meituan.com/meishi/182724476/
德兴show鲜·蒸汽海鲜火锅餐厅（体育中心店）,火锅,香洲区红山路163号体育中心南门,4.5,75,https://www.meituan.com/meishi/41722728/
重庆杜家火锅,火锅,香洲区拱北迎宾南路华侨宾馆正对面（近街边公园，华侨宾馆巴士站旁边）,4.4,54,https://www.meituan.com/meishi/2213975/
腩潮鲜牛腩火锅,火锅,香洲区南屏镇环屏路16号BOX创意区1016/1028#商铺,4.6,56,https://www.meituan.com/meishi/193611998/
新重庆川菜火锅酒楼（莲花店）,火锅,香洲区莲花路18号汽车总站来魅力商场二楼,4.3,15,https://www.meituan.com/meishi/5329066/
金成记猪肚鸡（凤凰北店）,火锅,香洲区华海路70号（华润万家往海边200米左侧、华海花园小区正门对面）,4.3,88,https://www.meituan.com/meishi/41218579/
海诚记海鲜牛肉火锅,火锅,香洲区景山路63号,3.5,95,https://www.meituan.com/meishi/1450275013/
淼福猪肚鸡（井岸店）,火锅,斗门区中兴中路31号（银城公交站旁）,4.1,16,https://www.meituan.com/meishi/65369713/
润泽园海南椰子鸡（拱北店）,火锅,香洲区迎宾南路2064号（华侨宾馆旁）,3.7,56,https://www.meituan.com/meishi/2528519/
王太爷牛蛙恋湘鱼（前山直营店）,火锅,香洲区珠海香洲区前山明珠南路1159号（诚丰广场与华润万家之间）,4.2,61,https://www.meituan.com/meishi/1667795989/
黄记煌三汁焖锅（国贸店）,火锅,香洲区吉大景山路228号国贸购物广场一层G-2A、G-2B,3.8,31,https://www.meituan.com/meishi/42434667/
金湾食王（湾仔海鲜街店）,火锅,香洲区湾仔海鲜街18号,3.9,59,https://www.meituan.com/meishi/2214780/
串掌门砂锅串串香（唐家店）,火锅,香洲区唐乐路30号（海悦居底商铺）,4.4,72,https://www.meituan.com/meishi/182378638/
卓卓有渔顺德私房菜,火锅,香洲区柠溪所柠溪路489号2楼（重庆山城二楼）,4.1,61,https://www.meituan.com/meishi/42252074/
千打牛肉丸,火锅,香洲区唐家文化广场福乐购百货一楼（唐家综合市场）,3.8,58,https://www.meituan.com/meishi/40431062/
串掌门砂锅串串香（唐家店）,火锅,香洲区唐乐路30号（海悦居底商铺）,4.4,44,https://www.meituan.com/meishi/182378638/
牛一锅·牛肉火锅,火锅,香洲区吉大九洲大道东绿茵豪庭楼下老树咖啡旁,4,54,https://www.meituan.com/meishi/6989979/
赞记美食,火锅,香洲区港一路29号（南苑小区处，铂金假日酒店斜对面）,3,75,https://www.meituan.com/meishi/51505425/
海汕牛肉火锅,火锅,香洲区南屏屏东六路78号商铺,3.5,56,https://www.meituan.com/meishi/1876638967/
香辣跳跳蛙,火锅,香洲区银桦路630号（金桦花园巴士站后面）,3.9,15,https://www.meituan.com/meishi/1240924/
大厨小盏,火锅,香洲区上华路1号（中珠上城会所一楼）,3.9,88,https://www.meituan.com/meishi/41048140/
亚游牛杂大王,火锅,香洲区侨光路409号（华发国际花园商铺）,3.7,95,https://www.meituan.com/meishi/185410161/
华富美食大排档,火锅,香洲区粤华路225号《花苑新村11栋》可高德导航华富美食,3.5,16,https://www.meituan.com/meishi/6043655/
润鼎四季（富华里店）,火锅,香洲区九洲大道西2033号中海富华里7栋2-01,3.8,56,https://www.meituan.com/meishi/41598156/
澳门一家春海鲜火锅,火锅,香洲区情侣南路489号九洲花园东门处（九洲港货柜码头对面）,4.7,61,https://www.meituan.com/meishi/1536374/
牛回全牛美食（珠海店）,火锅,香洲区翠微西路392号铺,3.5,31,https://www.meituan.com/meishi/2214439/
东来顺饭庄（吉大店）,火锅,香洲区情侣南路453号(近九州花园正门),4,59,https://www.meituan.com/meishi/1237518/
老字号歪记驰名澳门骨煲,火锅,香洲区粤华路与关闸中街中街交叉口昌隆五金交电正对面（近莲花路昌安酒店停车场）,3.5,72,https://www.meituan.com/meishi/2805048/
冯鱼头火锅,火锅,香洲区情侣南路青蓝山庄348号,4.4,61,https://www.meituan.com/meishi/1235957/
品点蒸艺餐厅,火锅,香洲区翠海路124号（扬名广场后面）,3.7,58,https://www.meituan.com/meishi/42694229/
顺德醉鹅广西牛杂煲,火锅,斗门区工业大道25号（新廖记食店正对面，新鸿酒店斜对面）,4.1,44,https://www.meituan.com/meishi/2215554/
祥祺酒店豪宴酒楼,火锅,金湾区金湾路1号祥祺酒店三楼,3.9,75,https://www.meituan.com/meishi/6201327/
宁城驴庄,火锅,香洲区梅溪市场首层商铺（梅溪牌坊旁边）,4.3,54,https://www.meituan.com/meishi/6501819/
海记石锅鱼,火锅,香洲区拱北水湾路157号（金百合对面）,3.8,56,https://www.meituan.com/meishi/42528001/
嘿 串串九宫格火锅,火锅,香洲区香洲拱北粤华路73号（莲花路春尚酒店旁500）,4.5,88,https://www.meituan.com/meishi/41522662/
金成记猪肚鸡（888美食街店）,火锅,香洲区银桦路888街92号,3.5,15,https://www.meituan.com/meishi/40998673/
森哥美食海鲜火锅（侨光路店）,火锅,香洲区侨光西路245号,3.9,95,https://www.meituan.com/meishi/41523358/
回味鲜猪肚鸡,火锅,斗门区井岸镇井湾路169号,4.1,16,https://www.meituan.com/meishi/50498278/
湛府羊火锅,火锅,香洲区心华路132号,4.1,56,https://www.meituan.com/meishi/63410228/
汕头鲜牛肉火锅,火锅,香洲区中盛路47号,4.5,61,https://www.meituan.com/meishi/52840589/
